year,issue,company,ticker,sponsorType,meanActivist,modeDistinct,resolution,desc,uID
2018,no-esg,"ASE TECHNOLOGY HOLDING CO., LTD.",3711,,1.0,0,Elect Director (Cumulative Voting or More Nominees Than Board Seats).,"Elect Bough Lin, a Representative of ASE Enterprises Ltd., with Shareholder No. 1 as Director",jqvjYQVpy
2018,no-esg,"ASE TECHNOLOGY HOLDING CO., LTD.",3711,,1.0,0,Elect Director (Cumulative Voting or More Nominees Than Board Seats).,"Elect C.W. Tsai, a Representative of ASE Enterprises Ltd., with Shareholder No. 1 as Director",kZwk2QVqJ
2018,no-esg,"ASE TECHNOLOGY HOLDING CO., LTD.",3711,,1.0,0,Elect Director (Cumulative Voting or More Nominees Than Board Seats).,"Elect Tien Wu, a Representative of ASE Enterprises Ltd., with Shareholder No. 1 as Director",l5vlRQVrj
2018,no-esg,"ASE TECHNOLOGY HOLDING CO., LTD.",3711,,1.0,0,Elect Director (Cumulative Voting or More Nominees Than Board Seats).,"Elect Joseph Tung, a Representative of ASE Enterprises Ltd., with Shareholder No. 1 as Director",mQ2mqRVrR
2018,no-esg,"ASE TECHNOLOGY HOLDING CO., LTD.",3711,,1.0,0,Elect Director (Cumulative Voting or More Nominees Than Board Seats).,"Elect Raymond Lo, a Representative of ASE Enterprises Ltd., with Shareholder No. 1 as Director",nrY0RQVv5
2018,no-esg,"ASE TECHNOLOGY HOLDING CO., LTD.",3711,,1.0,0,Elect Director (Cumulative Voting or More Nominees Than Board Seats).,"Elect Jeffery Chen, a Representative of ASE Enterprises Ltd., with Shareholder No. 1 as Director",oQvoZR9wY
2018,no-esg,"ASE TECHNOLOGY HOLDING CO., LTD.",3711,,1.0,0,Elect Director (Cumulative Voting or More Nominees Than Board Seats).,"Elect TS Chen, a Representative of ASE Enterprises Ltd., with Shareholder No. 1 as Director",pQRpZw6xQ
2018,no-esg,"ASE TECHNOLOGY HOLDING CO., LTD.",3711,,1.0,0,Elect Director (Cumulative Voting or More Nominees Than Board Seats).,Elect Rutherford Chang with Shareholder No. 372564 as Director,qYVqQRXy7
2018,no-esg,"ASE TECHNOLOGY HOLDING CO., LTD.",3711,,1.0,0,Elect Director (Cumulative Voting or More Nominees Than Board Seats).,Elect Freddie Liu with Shareholder No. 84025 as Director,rREr2ZNz2
2010,gg,AETNA INC.,AET,other,0.0,0,Require Independent Board Chairman,Require Independent Board Chairman,223jLBkK
2010,gg,AETNA INC.,AET,Individual,0.0,0,Restore or Provide for Cumulative Voting,Provide for Cumulative Voting,13jmO5mP
2011,gg,AETNA INC.,AET,,0.024,-1,Require Independent Board Chairman,Require Independent Board Chairman,o8DMD1yL
2011,gg,AETNA INC.,AET,Individual,0.024,0,Restore or Provide for Cumulative Voting,Provide for Cumulative Voting,n6ZM3QxP
2012,soc,AETNA INC.,AET,union,0.022,0,Political Contributions Disclosure,Report on Political Contributions,6KnVqmO9
2013,gg,AETNA INC.,AET,public pension,0.031,0,Require Independent Board Chairman,Require Independent Board Chairman,JzJJNKzJ
2013,gg,AETNA INC.,AET,Individual,1.0,0,Reduce Supermajority Vote Requirement,Reduce Supermajority Vote Requirement,K9YmBy9z
2013,soc,AETNA INC.,AET,religious,0.031,0,Political Activities and Action,Enhance Board Oversight of Political Contributions,LWQR7Y1w
2014,gg,AETNA INC.,AET,public pension,0.0,0,Require Independent Board Chairman,Require Independent Board Chairman,n7BB85ER
2014,soc,AETNA INC.,AET,public pension,0.0,0,Political Activities and Action,Amend Policy to Disclose Payments to Tax-Exempt Organizations,Vn495wY5
2014,soc,AETNA INC.,AET,public pension,0.0,0,Political Activities and Action,Enhance Board Oversight of Political Contributions,RjZ7MpRL
2015,no-esg,AETNA INC.,AET,Individual,0.0,0,Stock Retention/Holding Period,Adopt Share Retention Policy For Senior Executives,voD0NOgyM
2015,soc,AETNA INC.,AET,public pension,0.0,0,Political Activities and Action,Amend Policy to Disclose Payments to Tax-Exempt Organizations,rRqQB2g5L
2016,soc,AETNA INC.,AET,public pension,0.019,0,Political Activities and Action,Amend Policy to Disclose Payments to Tax-Exempt Organizations,qYpP6MJKy
2017,no-esg,AETNA INC.,AET,company,0.017,0,Gender Pay Gap,Report on Gender Pay Gap,9QjQDJOzz
2017,no-esg,AETNA INC.,AET,religious,0.034,0,Political Lobbying Disclosure,Report on Lobbying Payments and Policy,86zmZJkr3
2018,no-esg,"AETNA, INC.",AET,religious,0.0,0,Political Lobbying Disclosure,Report on Lobbying Payments and Policy,86zmZmYRl
2018,no-esg,"AETNA, INC.",AET,Individual,0.0,0,Amend Articles/Bylaws/Charter -- Call Special Meetings,Reduce Ownership Threshold for Shareholders to Call Special Meeting,9Qp8LgVj3
2013,no-esg,AGRIUM INC.,AGU,,0.0,0,Elect Directors (Opposition Slate),Elect Director Stephen Clark,8K9DzwBl
2013,no-esg,AGRIUM INC.,AGU,,0.0,0,Elect Directors (Opposition Slate),Elect Director Barry Rosenstein,4G9yvpY2
2013,no-esg,AGRIUM INC.,AGU,,0.0,-1,Elect Directors (Opposition Slate),Elect Director David Bullock,5KWzwq1x
2013,no-esg,AGRIUM INC.,AGU,,0.0,0,Elect Directors (Opposition Slate),Elect Director Mitchell Jacobson,6K0Axrz7
2013,no-esg,AGRIUM INC.,AGU,,0.0,-1,Elect Directors (Opposition Slate),Elect Director Hon. Lyle Vanclief,7VAByvWw
2013,no-esg,AGRIUM INC.,AGU,,0.0,0,Elect Directors (Opposition Slate),Management Nominee- David Everitt,9Y2EAxLP
2013,no-esg,AGRIUM INC.,AGU,,0.0,0,Elect Directors (Opposition Slate),Management Nominee- John Lowe,0D9rolX7
2013,no-esg,AGRIUM INC.,AGU,,0.0,0,Elect Directors (Opposition Slate),Management Nominee- Victor Zaleschuk,gMk9DBQ9
2013,no-esg,AGRIUM INC.,AGU,,0.0,0,Elect Directors (Opposition Slate),Management Nominee- Russell Girling,j6n9gGOW
2013,no-esg,AGRIUM INC.,AGU,,0.0,0,Elect Directors (Opposition Slate),Management Nominee- A. Anne McLellan,kXo0jJOx
2013,no-esg,AGRIUM INC.,AGU,,0.0,0,Elect Directors (Opposition Slate),Management Nominee- David Lesar,lEp9kKMl
2013,no-esg,AGRIUM INC.,AGU,,0.0,0,Elect Directors (Opposition Slate),Management Nominee- Michael Wilson,mNE90LMp
2015,no-esg,AGRIUM INC.,AGU,,0.0,0,Human Rights Risk Assessment,Human Rights Risk Assessment,jqOPWqYE4
2013,gg,"AIR PRODUCTS AND CHEMICALS, INC.",APD,public pension,1.0,0,Declassify the Board of Directors,Declassify the Board of Directors,Xp6GgEP8
2010,no-esg,"AIRGAS, INC.",ARG,,0.0,-1,Change Date/Time of Annual Meeting,Change Date of Annual Meeting,0E1n7pG5
2010,no-esg,"AIRGAS, INC.",ARG,,0.167,-1,Change Date/Time of Annual Meeting,Change Date of Annual Meeting,kByxLPwN
2010,no-esg,"AIRGAS, INC.",ARG,,0.0,-1,Company-Specific Board-Related,Approve Implementation of Director Disqualifying Requirements,9YQJZvND
2010,no-esg,"AIRGAS, INC.",ARG,,0.0,-1,Company-Specific Board-Related,Approve Implementation of Director Disqualifying Requirements,j6qXrjxl
2010,gg,"AIRGAS, INC.",ARG,,0.0,-1,Company Specific-Governance Related,"Repeal Bylaws Amendments Adopted after April 7, 2010",gMQgE4p3
2010,gg,"AIRGAS, INC.",ARG,,0.0,-1,Company Specific-Governance Related,"Repeal Bylaws Amendments Adopted after April 7, 2010",lEMng1g6
2010,no-esg,"AIRGAS, INC.",ARG,,0.0,-1,Elect Directors (Opposition Slate),Elect Director John P. Clancey,9Y2E9q2Z
2010,no-esg,"AIRGAS, INC.",ARG,,0.0,-1,Elect Directors (Opposition Slate),Elect Director Ted B. Miller,gMk9pAk3
2010,no-esg,"AIRGAS, INC.",ARG,,0.0,-1,Elect Directors (Opposition Slate),Elect Director Robert L. Lumpkins,0D9r859K
2012,gg,"AIRGAS, INC.",ARG,union,1.0,0,Declassify the Board of Directors,Declassify the Board of Directors,w7jNoRow
2013,gg,"AIRGAS, INC.",ARG,union,0.0,-1,Declassify the Board of Directors,Declassify the Board of Directors,VnmDgkZ5
2014,gg,"AIRGAS, INC.",ARG,union,1.0,1,Require a Majority Vote for the Election of Directors,Require a Majority Vote for the Election of Directors,Yqv0n6X0
2014,gg,"AIRGAS, INC.",ARG,public pension,1.0,0,Declassify the Board of Directors,Declassify the Board of Directors,Xp6vLJ5k
2010,gg,"ALASKA AIR GROUP, INC.",ALK,Individual,1.0,0,Provide Right to Act by Written Consent,Provide Right to Act by Written Consent,EW8zWnOW
2012,no-esg,"ALASKA AIR GROUP, INC.",ALK,Individual,0.0,0,Stock Retention/Holding Period,Stock Retention,Xp0J9V2V
2013,no-esg,"ALASKA AIR GROUP, INC.",ALK,,0.0,0,Double Trigger on Equity Plans,Pro-rata Vesting of Equity Awards,RjDKNBj0
2014,gg,"ALASKA AIR GROUP, INC.",ALK,Individual,0.0,0,Require Independent Board Chairman,Require Independent Board Chairman,o8DDAWlX
2015,gg,"ALASKA AIR GROUP, INC.",ALK,Individual,0.0,0,Require Independent Board Chairman,Require Independent Board Chairman,wmrZzNA3J
2017,no-esg,"ALASKA AIR GROUP, INC.",ALK,Individual,0.0,0,Amend Proxy Access Right,Amend Proxy Access Right,4R95X19E0
2018,no-esg,"ALASKA AIR GROUP, INC.",ALK,Individual,0.0,0,Amend Proxy Access Right,Amend Proxy Access Right,RoLR36VQE
2014,no-esg,"ALEXION PHARMACEUTICALS, INC.",ALXN,Individual,1.0,0,Submit Shareholder Rights Plan (Poison Pill) to Shareholder Vote,Submit Shareholder Rights Plan (Poison Pill) to Shareholder Vote,rVY3owww
2015,no-esg,"ALEXION PHARMACEUTICALS, INC.",ALXN,Individual,0.0,0,Amend Articles/Bylaws/Charter -- Call Special Meetings,Amend Charter -- Call Special Meetings,ZVw4ZQPkE
2016,no-esg,"ALEXION PHARMACEUTICALS, INC.",ALXN,Individual,0.03,0,Amend Articles/Bylaws/Charter -- Call Special Meetings,Reduce Ownership Threshold for Shareholders to Call Special Meeting,59l8AO9gX
2017,no-esg,"ALEXION PHARMACEUTICALS, INC.",ALXN,Individual,0.0,0,Proxy Voting Tabulation,Provide For Confidential Running Vote Tallies On Executive Pay Matters,PZ6mywZm1
2018,gg,"ALEXION PHARMACEUTICALS, INC.",ALXN,Individual,0.0,0,Require Independent Board Chairman,Require Independent Board Chairman,JqQlgyEPl
2012,no-esg,"ALLERGAN, INC.",AGN,Individual,0.0,-1,Amend Articles/Bylaws/Charter -- Call Special Meetings,Amend Articles/Bylaws/Charter -- Call Special Meetings,MWwzxnq5
2013,gg,"ALLERGAN, INC.",AGN,Individual,0.0,-1,Provide Right to Act by Written Consent,Provide Right to Act by Written Consent,zYvWDVWr
2013,no-esg,"ALLERGAN, INC.",AGN,religious,0.0,0,Political Lobbying Disclosure,Report on Lobbying Payments and Policy,AKBorJV7
2014,gg,"ALLERGAN, INC.",AGN,Individual,0.0,-1,Require Independent Board Chairman,Require Independent Board Chairman,x8PP7vM3
2013,no-esg,"ORBITAL ATK, INC.",OA,religious,0.0,-1,Political Lobbying Disclosure,Report on Lobbying Payments and Policy,7Vozw5NG
2014,soc,"ORBITAL ATK, INC.",OA,public pension,0.0,0,Weapons - Related,Report on Sandy Hook Principles,4GX2z2g0
2016,env,LABORATORY CORPORATION OF AMERICA HOLDINGS,LH,Special Interest,0.023,0,Social Proposal,Report on Zika Virus Controls for Primates and Employees,L8lmwwPAw
2017,env,LABORATORY CORPORATION OF AMERICA HOLDINGS,LH,Special Interest,0.021,0,Social Proposal,Report on Zika Virus Controls for Primates and Employees,zKNgyj7Nm
2010,no-esg,THE ALLSTATE CORPORATION,ALL,Individual,0.0,-1,Amend Articles/Bylaws/Charter -- Call Special Meetings,Amend Bylaws -- Call Special Meetings,ZrYQr1Xg
2010,gg,THE ALLSTATE CORPORATION,ALL,Individual,1.0,0,Provide Right to Act by Written Consent,Provide Right to Act by Written Consent,13WX3gYo
2010,gg,THE ALLSTATE CORPORATION,ALL,religious,0.0,0,Report on Pay Disparity,Report on Pay Disparity,3VGw1q1O
2010,gg,THE ALLSTATE CORPORATION,ALL,other,0.0,-1,Advisory Vote to Ratify Named Executive Officers' Compensation,Advisory Vote to Ratify Named Executive Officers' Compensation,2DE5MQ3N
2010,soc,THE ALLSTATE CORPORATION,ALL,public pension,0.0,0,Political Contributions Disclosure,Report on Political Contributions,4GlKDqMJ
2011,gg,THE ALLSTATE CORPORATION,ALL,Individual,1.0,0,Provide Right to Act by Written Consent,Provide Right to Act by Written Consent,vLlP5PW8
2011,soc,THE ALLSTATE CORPORATION,ALL,union,0.0,0,Political Contributions Disclosure,Report on Political Contributions,w7Xgw8AM
2012,soc,THE ALLSTATE CORPORATION,ALL,public pension,0.0,0,Political Contributions Disclosure,Report on Political Contributions,JWOXgWDy
2013,no-esg,THE ALLSTATE CORPORATION,ALL,Individual,0.0,0,Stock Retention/Holding Period,Stock Retention/Holding Period,AK2VkyWB
2013,no-esg,THE ALLSTATE CORPORATION,ALL,union,0.0,0,Political Lobbying Disclosure,Report on Lobbying Payments and Policy,B9DppKvx
2014,no-esg,THE ALLSTATE CORPORATION,ALL,Individual,0.0,0,Stock Retention/Holding Period,Stock Retention/Holding Period,7VwG4NYr
2014,soc,THE ALLSTATE CORPORATION,ALL,public pension,0.0,0,Political Contributions Disclosure,Report on Political Contributions,9YqXJo1x
2014,no-esg,THE ALLSTATE CORPORATION,ALL,union,0.0,0,Political Lobbying Disclosure,Report on Lobbying Payments and Policy,8KpAD8gL
2015,no-esg,THE ALLSTATE CORPORATION,ALL,Individual,0.0,0,Stock Retention/Holding Period,Adopt Share Retention Policy For Senior Executives,APAZwyPy3
2016,gg,THE ALLSTATE CORPORATION,ALL,Individual,0.027,0,Require Independent Board Chairman,Require Independent Board Chairman,7LXOm5qRj
2016,soc,THE ALLSTATE CORPORATION,ALL,fund,0.0,0,Political Contributions Disclosure,Report on Political Contributions,86zm6kM0j
2017,gg,THE ALLSTATE CORPORATION,ALL,Individual,0.048,0,Require Independent Board Chairman,Require Independent Board Chairman,G58gJDm88
2017,no-esg,THE ALLSTATE CORPORATION,ALL,Individual,0.0,0,Require Director Nominee Qualifications (Excluding Environmental & Social),Lead Director Qualifications,JqP0N5B6D
2017,soc,THE ALLSTATE CORPORATION,ALL,public pension,0.048,0,Political Contributions Disclosure,Political Contributions Disclosure,KZ7M1ZAW8
2018,soc,THE ALLSTATE CORP.,ALL,fund,0.0,0,Political Contributions Disclosure,Report on Political Contributions,pQoG89M6N
2010,gg,ALTERA CORPORATION,ALTR,Individual,1.0,0,Reduce Supermajority Vote Requirement,Reduce Supermajority Vote Requirement,4Gk4QY8k
2014,gg,ALTERA CORPORATION,ALTR,Individual,0.0,0,Require Independent Board Chairman,Require Independent Board Chairman,9GllL7G4
2015,gg,ALTERA CORPORATION,ALTR,Individual,0.0,0,Require Independent Board Chairman,Require Independent Board Chairman,1r4QOoOjo
2010,soc,"AMAZON.COM, INC.",AMZN,,0.0,0,Political Contributions Disclosure,Report on Political Contributions,lEJ6VGYg
2011,no-esg,"AMAZON.COM, INC.",AMZN,Individual,0.0,0,Amend Articles/Bylaws/Charter -- Call Special Meetings,Amend Bylaws-- Call Special Meetings,DW1n7ZM5
2011,env,"AMAZON.COM, INC.",AMZN,SRI fund,0.0,0,Report on Climate Change,Report on Climate Change,EW3vqgEm
2012,soc,"AMAZON.COM, INC.",AMZN,SRI fund,0.0,0,Political Contributions Disclosure,Report on Political Contributions,PW0JoKWA
2012,env,"AMAZON.COM, INC.",AMZN,SRI fund,0.0,0,Report on Climate Change,Report on Climate Change,O63kEADE
