year,issue,company,ticker,sponsorType,meanActivist,modeDistinct,resolution,desc,uID,sponsor
2010,gg,THE WALT DISNEY COMPANY,DIS,SRI fund,0.0,-1,Advisory Vote to Ratify Named Executive Officers' Compensation,Advisory Vote to Ratify Named Executive Officers' Compensation,pLP0Almp,Walden Asset Management
2010,env,"TOLL BROTHERS, INC.",TOL,public pension,0.0,0,GHG Emissions,Adopt Quantitative GHG Goals for Products and Operations,3VLpDrpR,New York City Pension Funds
2010,gg,"THE COOPER COMPANIES, INC.",COO,,0.0,-1,Require a Majority Vote for the Election of Directors,Require a Majority Vote for the Election of Directors,qLYMJ3JG,The City of New York Office of the Comptroller
2010,gg,"TOLL BROTHERS, INC.",TOL,fund,1.0,1,Require Independent Board Chairman,Require Independent Board Chairman,223jKoEA,"Central Laborers Pension, Welfare & Annuity Fund"
2010,env,STARBUCKS CORPORATION,SBUX,Special Interest,0.0,0,Recycling,Adopt Comprehensive Recycling Strategy for Beverage Containers,JW05Z7k2,As You Sow Foundation
2010,gg,"QUIKSILVER, INC.",ZQKSQ,union,0.0,0,Elect Director,Elect Director Andrew W. Sweet,rrzQAL1E,LongView Funds
2010,gg,"QUIKSILVER, INC.",ZQKSQ,union,0.0,0,Elect Director,Elect Director Douglas K. Ammerman,jjoGpz1R,LongView Funds
2010,gg,"QUIKSILVER, INC.",ZQKSQ,union,0.0,0,Elect Director,"Elect Director William M. Barnum, Jr.",kkpJqA15,LongView Funds
2010,gg,"QUIKSILVER, INC.",ZQKSQ,union,0.0,0,Elect Director,Elect Director Paul C. Speaker,qqyPzK12,LongView Funds
2010,gg,"QUIKSILVER, INC.",ZQKSQ,union,0.0,0,Elect Director,Elect Director Charles E. Crowe,llqKrB15,LongView Funds
2010,gg,"QUIKSILVER, INC.",ZQKSQ,union,0.0,0,Elect Director,"Elect Director Robert B. McKnight, Jr.",ppxOyJ12,LongView Funds
2010,gg,"QUIKSILVER, INC.",ZQKSQ,union,0.0,0,Elect Director,Elect Director Charles S. Exon,n0vMwE1R,LongView Funds
2010,gg,"QUIKSILVER, INC.",ZQKSQ,union,0.0,0,Elect Director,Elect Director James G. Ellis,mmrLvD5O,LongView Funds
2010,gg,"QUIKSILVER, INC.",ZQKSQ,union,0.0,0,Elect Director,Elect Director M. Steven Langman,oowNxG1j,LongView Funds
2010,gg,"QUIKSILVER, INC.",ZQKSQ,,0.0,-1,Require a Majority Vote for the Election of Directors,Require a Majority Vote for the Election of Directors,AKP9y3Kz,unknown
2010,gg,AMERON INTERNATIONAL CORPORATION,AMN,Individual,0.0,-1,Require Independent Board Chairman,Require Independent Board Chairman,w2OXJ4kM,"Levin, John"
2010,gg,KB HOME,KBH,fund,0.0,0,Advisory Vote to Ratify Named Executive Officers' Compensation,Advisory Vote to Ratify Named Executive Officers' Compensation,3VG58znQ,New York City Employees' Retirement System
2010,gg,"WADDELL & REED FINANCIAL, INC.",WDR,SRI fund,0.0,0,Advisory Vote to Ratify Named Executive Officers' Compensation,Advisory Vote to Ratify Named Executive Officers' Compensation,zYoGO3Vr,Boston Common Asset Management
2010,gg,THE BANK OF NEW YORK MELLON CORPORATION,BK,fund,0.0,-1,Submit Severance Agreement (Change-in-Control) to Shareholder Vote,Submit Severance Agreement (Change-in-Control) to Shareholder Vote,0D2wQgMy,Trowel Trades S&P 500 Index Fund
2010,gg,THE BANK OF NEW YORK MELLON CORPORATION,BK,Individual,0.0,0,Restore or Provide for Cumulative Voting,Provide for Cumulative Voting,AKnJz9rB,"Davis, Evelyn Y."
2010,gg,UNITED TECHNOLOGIES CORPORATION,UTX,union,0.0,0,Advisory Vote to Ratify Named Executive Officers' Compensation,Advisory Vote to Ratify Named Executive Officers' Compensation,j6PlrlK5,AFL-CIO
2010,env,LENNAR CORPORATION,LEN,other,0.0,0,GHG Emissions,Adopt Quantitative GHG Goals for Products and Operations,PW39Dqw1,Nathan Cummings Foundation
2010,env,"PPG INDUSTRIES, INC.",PPG,SRI fund,0.0,0,Community- Environmental Impact,Report on Community Environmental Impact Disclosure Process,qLN30KVR,Trillium Asset Management
2010,env,WEYERHAEUSER COMPANY,WY,other,0.0,0,Wood Procurement,Report on Incorporating FSC-certified Products into Company's North American Strategy,NWMrxXo2,Ethical Funds Inc.
2010,gg,HOSPITALITY PROPERTIES TRUST,HPT,,1.0,0,Reduce Supermajority Vote Requirement,Reduce Supermajority Vote Requirement,xLV9vXxz,Florida State Board of Administration of Florida
2010,gg,HOSPITALITY PROPERTIES TRUST,HPT,public pension,1.0,0,Declassify the Board of Directors,Declassify the Board of Trustees,w7jNNq1g,California Public Employees' Retirement System
2010,gg,ELI LILLY AND COMPANY,LLY,union,0.0,0,Company-Specific Board-Related,Prohibit CEOs from Serving on Compensation Committee,JWq4MJEl,AFL-CIO
2010,gg,ELI LILLY AND COMPANY,LLY,Individual,0.0,0,Advisory Vote to Ratify Named Executive Officers' Compensation,Advisory Vote to Ratify Named Executive Officers' Compensation,K9RnqwVJ,"Parrish, Gretchen"
2010,gg,PACCAR INC,PCAR,Individual,1.0,1,Reduce Supermajority Vote Requirement,Reduce Supermajority Vote Requirement,mN2GQvxn,"Chevedden, John"
2010,gg,PACCAR INC,PCAR,union,1.0,1,Limit Composition of Committee(s) to Independent Directors,Limit Composition of Committee(s) to Independent Directors,oXQzo4QB,AFL-CIO
2010,gg,FIFTH THIRD BANCORP,FITB,other,0.2,0,Require Independent Board Chairman,Require Independent Board Chairman,0E15GxVK,David and Annette Jorgensen Revocable Trust
2010,gg,PACCAR INC,PCAR,,0.0,0,Require a Majority Vote for the Election of Directors,Require a Majority Vote for the Election of Directors,n6rNDBZP,unknown
2010,soc,CITIGROUP INC.,C,public pension,0.0,0,Political Contributions Disclosure,Report on Political Contributions,K9PEBK2R,"Firefighters' Pension System of the City of Kansas City, Missouri"
2010,soc,CITIGROUP INC.,C,public pension,0.0,0,Political Contributions Disclosure,Affirm Political Non-Partisanship,JWOXAG22,"Firefighters' Pension System of the City of Kansas City, Missouri"
2010,gg,UNION BANKSHARES CORPORATION,UBSH,,0.0,0,Declassify the Board of Directors,Declassify the Board of Directors,LWgpO6rv,Gerald Armstrong
2010,gg,MOODY'S CORPORATION,MCO,fund,0.0,0,Require Independent Board Chairman,Require Independent Board Chairman,n7BLwKK7,Legal & General Assurance Pension
2010,gg,THE SHERWIN-WILLIAMS COMPANY,SHW,union,0.0,0,Require a Majority Vote for the Election of Directors,Require a Majority Vote for the Election of Directors,mNQMLwXn,United Brotherhood of Carpenters Pension Fund
2010,gg,"PROSPERITY BANCSHARES, INC.",PB,,1.0,0,Declassify the Board of Directors,Declassify the Board of Directors,AKnLLjOB,unknown
2010,gg,"COMMERCE BANCSHARES, INC.",CBSH,Individual,0.0,0,Declassify the Board of Directors,Declassify the Board of Directors,qLjEEK73,"Cohen, Jack"
2010,env,EQT CORPORATION,EQT,,0.0,0,Report on Sustainability,Prepare Sustainability Report,w7Qwx9Rr,Harris & Francis Block Foundation
2010,gg,"WESBANCO, INC.",WSBC,Individual,1.0,1,Declassify the Board of Directors,Declassify the Board of Directors,j62wwxDy,"Cohen, Jack"
2010,gg,EQT CORPORATION,EQT,union,0.0,-1,Require a Majority Vote for the Election of Directors,Require a Majority Vote for the Election of Directors,vLo9OKEm,United Brotherhood of Carpenters Pension Fund
2010,env,"C. R. BARD, INC.",BCR,SRI fund,0.0,0,Report on Sustainability,Prepare Sustainability Report,8KjNgWwg,Walden Asset Management
2010,gg,THE COCA-COLA COMPANY,KO,fund,0.0,0,Require Independent Board Chairman,Require Independent Board Chairman,m8AKv5w0,The International Brotherhood of Teamsters General Fund
2010,gg,CITY NATIONAL CORPORATION,CYN,,1.0,0,Declassify the Board of Directors,Declassify the Board of Directors,qLjEENkp,Unkown
2010,gg,THE COCA-COLA COMPANY,KO,Individual,0.0,0,Performance-Based and/or Time-Based Equity Awards,Performance-Based Equity Awards,n6PoJEzD,"Shepherd, Elton"
2010,env,THE COCA-COLA COMPANY,KO,SRI fund,0.0,0,Product Safety,Publish Report on Chemical Bisphenol A (BPA),oXxyXrWX,Domini Social Investments
2010,gg,THE COCA-COLA COMPANY,KO,religious,0.0,0,Advisory Vote to Ratify Named Executive Officers' Compensation,Advisory Vote to Ratify Named Executive Officers' Compensation,lEPnwrog,Benedictine Sisters
2010,gg,"HCP, INC.",HCP,union,0.0,0,Require a Majority Vote for the Election of Directors,Require a Majority Vote for the Election of Directors,XpokjorA,United Brotherhood of Carpenters Pension Fund
2010,soc,LOCKHEED MARTIN CORPORATION,LMT,religious,0.0,0,Weapons - Related,Report on Space-based Weapons Program,PW4Koqp1,Sisters of Mercy
2010,gg,JOHNSON & JOHNSON,JNJ,SRI fund,0.0,0,Advisory Vote to Ratify Named Executive Officers' Compensation,Advisory Vote to Ratify Named Executive Officers' Compensation,MW6pGw2R,Walden Asset Management
2010,gg,"BAKER HUGHES, A GE COMPANY, LLC",BHGE,union,0.0,0,Require a Majority Vote for the Election of Directors,Require a Majority Vote for the Election of Directors,JWq7LLLg,United Brotherhood of Carpenters Pension Fund
2010,gg,EDISON INTERNATIONAL,EIX,Individual,0.0,0,Advisory Vote to Ratify Named Executive Officers' Compensation,Advisory Vote to Ratify Named Executive Officers' Compensation,JWRmp4pD,"Chevedden, John"
2010,gg,EDISON INTERNATIONAL,EIX,Individual,0.0,1,Advisory Vote to Ratify Named Executive Officers' Compensation,Advisory Vote to Ratify Named Executive Officers' Compensation,GOWRPY40,"Chevedden, John"
2010,gg,NEWMONT MINING CORPORATION,NEM,,0.0,-1,Require a Majority Vote for the Election of Directors,Require a Majority Vote for the Election of Directors,rVRMKyjw,unknown
2010,gg,ABBOTT LABORATORIES,ABT,religious,0.0,0,Advisory Vote to Ratify Named Executive Officers' Compensation,Advisory Vote to Ratify Named Executive Officers' Compensation,7Vk5RL8y,Unitarian Universalist Association
2010,gg,COCA-COLA EUROPEAN PARTNERS PLC,CCE,fund,0.0,0,Submit Severance Agreement (Change-in-Control) to Shareholder Vote,Submit Severance Agreement (Change-in-Control) to Shareholder Vote,qLVgvzOR,The International Brotherhood of Teamsters General Fund
2010,gg,ARCONIC INC.,ARNC,Individual,1.0,0,Amend Vote Requirements to Amend Articles/Bylaws/Charter,Adopt Simple Majority Vote,lEx1jk56,"Steiner, William"
2010,gg,KELLOGG COMPANY,K,Individual,1.0,1,Reduce Supermajority Vote Requirement,Reduce Supermajority Vote Requirement,YqQ0v47K,"McRitchie, Jim"
2010,gg,GRACO INC.,GGG,public pension,0.0,-1,Require a Majority Vote for the Election of Directors,Require a Majority Vote for the Election of Directors,j6qOy7JW,California Public Employees' Retirement System
2010,gg,"HARLEY-DAVIDSON, INC.",HOG,Individual,1.0,0,Amend Vote Requirements to Amend Articles/Bylaws/Charter,Approve the Adoption of Simple Majority Vote,0DYKvxKV,"Steiner, William"
2010,gg,AMERICAN EXPRESS COMPANY,AXP,Individual,0.0,0,Restore or Provide for Cumulative Voting,Provide for Cumulative Voting,5K8qkW2Y,"Davis, Evelyn Y."
2010,soc,HONEYWELL INTERNATIONAL INC.,HON,religious,0.0,0,Improve Human Rights Standards or Policies,Review and Amend Code of Conduct to Include Human Rights,qL8mO9VD,Episcopal Church
2010,soc,THE BOEING COMPANY,BA,SRI fund,0.0,0,Political Contributions Disclosure,Report on Political Contributions,AKBOowkz,Newground Social Investment
2010,gg,"STERLING BANCSHARES, INC.",SBIB,Individual,1.0,0,Reduce Supermajority Vote Requirement,Reduce Supermajority Vote Requirement,3VjO2kmn,"Cohen, Jack"
2010,gg,HONEYWELL INTERNATIONAL INC.,HON,Individual,0.0,0,Require Independent Board Chairman,Require Independent Board Chairman,pBENyJnr,"Steiner, William"
2010,soc,THE BOEING COMPANY,BA,religious,0.0,0,Review Foreign Military Sales,Adopt Ethical Criteria for Military Contracts,w7WlMlwg,Interfaith Center on Corporate Responsibility
2010,gg,"M.D.C. HOLDINGS, INC.",MDC,,0.0,0,Require Independent Board Chairman,Require Independent Board Chairman,lXzJr4kl,NOT DISCLOSED
2010,gg,THE BOEING COMPANY,BA,Individual,0.0,0,Advisory Vote to Ratify Named Executive Officers' Compensation,Advisory Vote to Ratify Named Executive Officers' Compensation,xLmDMZXE,"Chevedden, Ray"
2010,gg,THE BOEING COMPANY,BA,Individual,0.0,0,Require Independent Board Chairman,Require Independent Board Chairman,zQR1Mrny,"Watt, David"
2010,gg,HONEYWELL INTERNATIONAL INC.,HON,Individual,1.0,1,Provide Right to Act by Written Consent,Provide Right to Act by Written Consent,oXVGXX8A,"Chevedden, John"
2010,gg,INTERNATIONAL BUSINESS MACHINES CORPORATION,IBM,Individual,0.0,0,Restore or Provide for Cumulative Voting,Provide for Cumulative Voting,lEOKl5pM,"Davis, Evelyn Y."
2010,env,"SUNTRUST BANKS, INC.",STI,religious,0.0,0,Report on Sustainability,Prepare Sustainability Report,DWyoxkXk,Unitarian Universalist Association
2010,env,AMEREN CORPORATION,AEE,religious,0.0,0,Nuclear Power - Related,Report on Extending the Operating License at the Callaway Nuclear Power Facility,oXqmNnB3,School Sisters of Notre Dame
2010,gg,INTERNATIONAL BUSINESS MACHINES CORPORATION,IBM,SRI fund,0.0,0,Advisory Vote to Ratify Named Executive Officers' Compensation,Advisory Vote to Ratify Named Executive Officers' Compensation,n6Ppy2Ep,Boston Common Asset Management
2010,gg,SOUTH STATE CORPORATION,SSB,Individual,1.0,0,Declassify the Board of Directors,Declassify the Board of Directors,kX5xk5qY,"Cohen, Jack"
2010,env,CABOT OIL & GAS CORPORATION,COG,public pension,0.0,0,Community- Environmental Impact,Report on Environmental Impacts of Natural Gas Fracturing,mNJ348qE,New York State Common Retirement Fund
2010,gg,BB&T CORPORATION,BBT,other,0.0,0,Require Independent Board Chairman,Require Independent Board Chairman,8WkpQ4kL,David and Annette Jorgensen Revocable Trust
2010,soc,BB&T CORPORATION,BBT,union,0.0,0,Political Contributions Disclosure,Report on Political Contributions,7VoJzgMG,Laborers' International Union of NA
2010,soc,BB&T CORPORATION,BBT,SRI fund,0.0,0,Fair Lending,"Report on Overdraft Policies and Practices, and Impacts to Borrowers",9YzlmG1Z,Calvert Asset Management Co.
2010,env,"MDU RESOURCES GROUP, INC.",MDU,Special Interest,0.0,0,Community- Environmental Impact,Report on Coal Combustion Waste Hazard and Risk Mitigation Efforts,rVO34RAK,As You Sow Foundation
2010,gg,"METLIFE, INC.",MET,Individual,0.0,0,Restore or Provide for Cumulative Voting,Provide for Cumulative Voting,kX5JkgvY,"Davis, Evelyn Y."
2010,gg,COMERICA INCORPORATED,CMA,,1.0,0,Reduce Supermajority Vote Requirement,Eliminate Supermajority Vote Requirement,rVEX8Yq4,Gerald Armstrong
2010,gg,SPECTRA ENERGY CORP,SE,union,0.0,0,Require a Majority Vote for the Election of Directors,Require a Majority Vote for the Election of Directors,O6y518qg,United Brotherhood of Carpenters Pension Fund
2010,gg,WELLS FARGO & COMPANY,WFC,Individual,0.0,1,Advisory Vote to Ratify Named Executive Officers' Compensation,Advisory Vote to Ratify Named Executive Officers' Compensation,9wY9xBVx,"Cohen, Jack"
2010,gg,WELLS FARGO & COMPANY,WFC,Individual,0.0,0,Advisory Vote to Ratify Named Executive Officers' Compensation,Advisory Vote to Ratify Named Executive Officers' Compensation,j6Pl1q35,"Cohen, Jack"
2010,gg,CAMDEN NATIONAL CORPORATION,CAC,Individual,1.0,1,Declassify the Board of Directors,Declassify the Board of Directors,xLG0AkoP,"Cohen, Jack"
2010,soc,WELLS FARGO & COMPANY,WFC,,0.0,0,Anti-Social Proposal,Report on Charitable Contributions,l6YoJJwJ,Human Life International
2010,gg,"THE PNC FINANCIAL SERVICES GROUP, INC.",PNC,fund,0.0,-1,Submit Severance Agreement (Change-in-Control) to Shareholder Vote,Submit Severance Agreement (Change-in-Control) to Shareholder Vote,QgNo400l,Trowel Trades S&P 500 Index Fund
2010,gg,WELLS FARGO & COMPANY,WFC,union,0.0,0,Require Independent Board Chairman,Require Independent Board Chairman,kByGq9rr,Service Employees International Union
2010,soc,WELLS FARGO & COMPANY,WFC,union,0.0,0,Political Contributions Disclosure,Report on Political Contributions,mNKXVZmG,Miami Firefighters
2010,gg,UMB FINANCIAL CORPORATION,UMBF,Individual,1.0,1,Declassify the Board of Directors,Declassify the Board of Directors,MWjqq3XQ,"Cohen, Jack"
2010,gg,TCF FINANCIAL CORPORATION,TCF,Individual,1.0,0,Reduce Supermajority Vote Requirement,Reduce Supermajority Vote Requirement,qLVDYGDk,"Cohen, Jack"
2010,gg,GENERAL ELECTRIC COMPANY,GE,SRI fund,0.0,0,Advisory Vote to Ratify Named Executive Officers' Compensation,Advisory Vote to Ratify Named Executive Officers' Compensation,8Kl5ZjMW,Walden Asset Management
2010,gg,GENERAL ELECTRIC COMPANY,GE,religious,0.0,0,Report on Pay Disparity,Report on Pay Disparity,6Kj9ogYL,Sisters of Charity of Blessed Virgin Mary
2010,gg,"EOG RESOURCES, INC.",EOG,union,0.0,0,Double Trigger on Equity Plans,Double Trigger on Equity Plans,mNg0kylp,LongView Funds
2010,env,"EOG RESOURCES, INC.",EOG,SRI fund,0.0,0,Community- Environmental Impact,Report on Environmental Impacts of Natural Gas Fracturing,kXE34X9J,Green Century Capital Management
2010,gg,BALL CORPORATION,BLL,Individual,0.0,0,Advisory Vote to Ratify Named Executive Officers' Compensation,Advisory Vote to Ratify Named Executive Officers' Compensation,WoRDVOLx,"Cohen, Jack"
2010,gg,BANK OF AMERICA CORPORATION,BAC,,0.0,0,Company Specific-Governance Related,Report on Collateral in Derivatives Trading,XpkER7JA,"MaryKnoll Sisters of St. Dominic, Inc"
2010,gg,BANK OF AMERICA CORPORATION,BAC,Individual,0.0,0,Advisory Vote to Ratify Named Executive Officers' Compensation,Advisory Vote to Ratify Named Executive Officers' Compensation,Vn9BRmkW,"Steiner, Kenneth"
2010,gg,BANK OF AMERICA CORPORATION,BAC,Individual,0.0,1,Advisory Vote to Ratify Named Executive Officers' Compensation,Advisory Vote to Ratify Named Executive Officers' Compensation,NmWOZGoD,"Steiner, Kenneth"
2010,soc,BANK OF AMERICA CORPORATION,BAC,Individual,0.0,0,Disclose Prior Government Service,Report on Government Service of Employees,PW067Mv4,"Davis, Evelyn Y."
2010,gg,"THE RYLAND GROUP, INC.",RYL,public pension,0.0,0,Advisory Vote to Ratify Named Executive Officers' Compensation,Advisory Vote to Ratify Named Executive Officers' Compensation,2DE5ZnWj,New York City Pension Funds
2010,env,"THE RYLAND GROUP, INC.",RYL,other,0.0,0,GHG Emissions,Adopt Quantitative GHG Goals for Products and Operations,13JnA8vV,Nathan Cummings Foundation
2010,gg,MARATHON OIL CORPORATION,MRO,Individual,0.0,-1,Advisory Vote to Ratify Named Executive Officers' Compensation,Advisory Vote to Ratify Named Executive Officers' Compensation,w7lBLoJg,Rossi Family
2010,gg,"BANCORPSOUTH, INC.",BXS,Individual,1.0,1,Declassify the Board of Directors,Declassify the Board of Directors,zYm8Dn3y,"Cohen, Jack"
2010,gg,S&P GLOBAL INC.,SPGI,Individual,1.0,1,Provide Right to Act by Written Consent,Provide Right to Act by Written Consent,qL7KLW1y,"Steiner, Kenneth"
